Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Average
 Prey Angle: 180, Prey Angle: 180, Prey Angle: 180, Prey Angle: 180, Prey Angle: 180, Prey Angle: 180, Prey Angle: 180, Prey Angle: 180, Prey Angle: 180, Prey Angle: 180, Prey Angle: 180, Prey Angle: 180
16,24,26,20,24,27,22,4,25,28,19,28,21.916666666666668
27,24,24,18,14,23,25,9,28,27,13,23,21.25
18,22,24,13,10,21,20,9,25,27,14,23,18.833333333333332
20,21,31,19,16,24,23,6,31,20,21,18,20.833333333333332
24,21,23,20,17,26,23,9,25,22,23,25,21.5
22,19,26,20,15,28,24,7,31,24,13,22,20.916666666666668
17,26,27,18,18,27,22,9,35,25,18,25,22.25
22,22,24,21,25,27,23,7,29,21,22,21,22
21,21,20,16,12,32,23,6,26,20,20,24,20.083333333333332
19,23,27,22,16,31,23,5,27,26,27,25,22.583333333333332
20,22,25,20,12,33,28,2,31,21,19,28,21.75
23,21,29,26,18,32,18,5,28,23,22,26,22.583333333333332
19,22,24,21,18,30,23,7,29,25,21,21,21.666666666666668
19,22,25,26,15,32,23,8,32,27,18,27,22.833333333333332
23,25,24,23,17,38,22,3,29,19,19,28,22.5
22,24,25,15,16,32,27,7,31,24,19,25,22.25
18,22,28,20,20,32,22,4,28,24,22,27,22.25
26,20,28,19,21,34,19,5,27,24,17,23,21.916666666666668
25,22,32,14,21,29,24,3,30,27,24,27,23.166666666666668
23,22,29,20,18,29,24,9,33,29,18,26,23.333333333333332
20,27,28,24,19,34,22,7,27,25,22,25,23.333333333333332
22,22,25,19,23,27,29,7,24,25,22,21,22.166666666666668
27,24,14,26,19,30,21,3,29,25,26,26,22.5
18,24,28,28,21,30,17,8,25,25,18,29,22.583333333333332
24,22,24,21,18,36,22,7,32,28,24,21,23.25
23,21,29,23,16,29,22,7,35,25,26,27,23.583333333333332
19,23,23,30,13,30,21,8,28,23,21,26,22.083333333333332
27,22,27,25,17,33,25,4,29,15,21,29,22.833333333333332
23,25,28,27,21,34,27,4,27,20,19,28,23.583333333333332
22,25,24,25,14,34,22,5,26,18,21,24,21.666666666666668
19,26,25,28,14,38,28,2,28,20,26,29,23.583333333333332
20,34,25,27,17,30,27,3,28,21,19,26,23.083333333333332
19,20,26,29,14,28,13,7,25,23,23,28,21.25
21,20,28,33,18,35,22,3,24,23,17,26,22.5
25,30,27,28,17,31,29,2,27,28,29,30,25.25
21,25,32,24,13,35,19,7,31,24,23,24,23.166666666666668
19,26,25,25,14,33,20,6,25,24,17,27,21.75
22,27,27,27,11,30,32,3,24,29,20,25,23.083333333333332
24,25,26,25,16,32,26,3,25,25,21,28,23
22,23,36,26,17,32,26,6,28,25,21,27,24.083333333333332
23,25,28,29,14,33,29,4,36,25,16,28,24.166666666666668
22,29,27,27,19,30,25,3,29,29,19,30,24.083333333333332
18,22,24,23,21,27,30,8,27,31,20,26,23.083333333333332
23,26,27,27,18,36,21,7,26,28,24,22,23.75
22,26,26,29,15,31,22,4,23,29,16,31,22.833333333333332
20,24,32,31,16,31,21,6,24,26,20,25,23
23,19,24,23,15,37,24,2,25,26,21,26,22.083333333333332
30,25,28,19,17,30,25,5,26,23,22,23,22.75
25,26,26,20,19,32,25,4,29,24,20,24,22.833333333333332
20,26,19,18,22,34,22,8,23,22,20,24,21.5
23,23,25,24,14,30,26,5,29,23,18,28,22.333333333333332
20,24,27,23,21,29,25,7,27,30,13,27,22.75
26,26,22,31,15,31,27,3,31,24,16,33,23.75
19,17,34,24,21,33,28,3,29,26,23,29,23.833333333333332
18,26,25,21,18,30,22,4,27,29,19,23,21.833333333333332
21,24,31,22,17,36,29,4,28,25,17,25,23.25
19,26,26,32,24,29,28,1,26,24,23,26,23.666666666666668
19,25,25,20,18,28,24,6,30,23,20,27,22.083333333333332
13,21,26,28,20,33,23,3,30,26,16,19,21.5
18,28,27,19,19,34,18,5,27,26,21,26,22.333333333333332
13,29,23,27,21,32,22,6,26,31,19,23,22.666666666666668
17,26,27,23,16,33,26,6,30,31,18,19,22.666666666666668
14,26,26,25,14,32,24,5,25,30,20,22,21.916666666666668
21,23,26,22,19,31,28,4,34,32,22,30,24.333333333333332
12,19,30,25,15,38,31,4,25,37,18,27,23.416666666666668
24,22,30,20,26,30,27,3,28,25,23,25,23.583333333333332
15,28,27,25,21,32,33,5,28,33,25,26,24.833333333333332
14,27,23,25,23,35,25,8,25,25,22,21,22.75
22,23,31,23,23,35,32,2,28,29,20,22,24.166666666666668
12,26,31,21,13,33,27,2,27,30,23,23,22.333333333333332
21,27,36,21,18,35,25,6,24,26,17,25,23.416666666666668
20,25,29,14,17,32,25,3,26,29,18,21,21.583333333333332
21,26,28,24,23,33,29,3,29,27,23,25,24.25
21,31,29,24,23,32,27,7,31,31,26,22,25.333333333333332
23,21,33,18,20,32,29,4,21,29,16,24,22.5
22,28,28,19,25,30,26,6,32,25,24,23,24
22,26,28,18,17,31,24,6,27,26,22,30,23.083333333333332
24,23,29,19,25,29,24,4,31,29,25,25,23.916666666666668
21,23,27,22,17,35,25,3,30,29,19,27,23.166666666666668
